date,erg_price,strategy,regime,sigmausd_ratio,erg_reserves,sigusd_reserves,total_usd,reserve_ratio,interventions,accum_path,window
2025-05-02,0.7507892990784821,B_70_30,uip001,3.7964511322108456,4618.846793666139,9234.517378470426,12702.298125237921,0.1270229812523792,0,none,hypothetical_full
2025-05-03,0.7429252250077125,B_70_30,uip001,3.7608275184717854,4618.892982134076,9234.517378470426,12666.009486508929,0.12666009486508928,0,none,hypothetical_full
2025-05-04,0.7531376830651053,B_70_30,uip001,3.8132929167370766,4618.939171063897,9234.517378470426,12713.214523984148,0.12713214523984148,0,none,hypothetical_full
2025-05-05,0.7207513259361759,B_70_30,uip001,3.831644970844276,4618.985360455608,9214.542739278648,12543.682562306813,0.12543682562306813,1,none,hypothetical_full
2025-05-06,0.7191250888046725,B_70_30,uip001,3.831644970844276,4619.031550309212,9214.542739278648,12536.204213086345,0.12536204213086344,0,none,hypothetical_full
2025-05-07,0.7458068012212895,B_70_30,uip001,3.966721524400486,4619.077740624715,9214.542739278648,12659.482333606427,0.12659482333606428,0,none,hypothetical_full
2025-05-08,0.7553963064187863,B_70_30,uip001,4.0593757506328485,4619.123931402121,9214.542739278648,12703.811895950434,0.12703811895950434,0,none,hypothetical_full
2025-05-09,0.8318788501529427,B_70_30,uip001,4.55539769499656,4619.170122641435,9214.542739278648,13057.132669562432,0.13057132669562432,0,none,hypothetical_full
2025-05-10,0.86997443510118,B_70_30,uip001,4.588275424619253,4619.2163143426615,9214.542739278648,13233.14284295906,0.1323314284295906,0,none,hypothetical_full
2025-05-11,0.905446319353056,B_70_30,uip001,4.682257782727936,4619.262506505805,9214.542739278648,13397.036973919901,0.133970369739199,0,none,hypothetical_full
2025-05-12,0.879167320137865,B_70_30,uip001,4.189779939640301,4619.30869913087,9190.1761114455,13251.321361349914,0.13251321361349913,1,none,hypothetical_full
2025-05-13,0.8652422994093529,B_70_30,uip001,4.2537710203998484,4619.354892217862,9190.1761114455,13187.037360175927,0.13187037360175927,0,none,hypothetical_full
2025-05-14,0.854984619805842,B_70_30,uip001,4.174878411288957,4619.401085766784,9190.1761114455,13139.692992490507,0.13139692992490506,0,none,hypothetical_full
2025-05-15,0.8282171545324988,B_70_30,uip001,4.086019370002685,4619.447279777642,9167.220908108111,12993.12638967844,0.12993126389678442,1,none,hypothetical_full
2025-05-16,0.7963415387734142,B_70_30,uip001,4.140863801274995,4619.493474250439,9145.148961577746,12823.843503216087,0.12823843503216087,1,none,hypothetical_full
2025-05-17,0.7828033878858571,B_70_30,uip001,4.102283974328234,4619.539669185182,9145.148961577746,12761.340265089018,0.1276134026508902,0,none,hypothetical_full
2025-05-18,0.770392770106559,B_70_30,uip001,4.079791859170978,4619.5858645818735,9145.148961577746,12704.04451253808,0.1270404451253808,0,none,hypothetical_full
2025-05-19,0.8237920953350626,B_70_30,uip001,4.430844045560941,4619.632060440519,9145.148961577746,12950.765336325074,0.12950765336325074,0,none,hypothetical_full
2025-05-20,0.8076960391221981,B_70_30,uip001,4.343778154618093,4619.6782567611235,9145.148961577746,12876.444791582646,0.12876444791582645,0,none,hypothetical_full
2025-05-21,0.797613909441202,B_70_30,uip001,4.322408573223996,4619.724453543691,9145.148961577746,12829.905443509851,0.1282990544350985,0,none,hypothetical_full
2025-05-22,0.8206802501553403,B_70_30,uip001,4.449684007876418,4619.770650788227,9145.148961577746,12936.503494926928,0.1293650349492693,0,none,hypothetical_full
